date,price
a1341552600,599
3,585
4,584
5,582
6,583
7,596
10,598
11,584
12,581
13,590
14,590
17,585
18,589
19,594
20,598
21,612
24,616
25,617
26,630
28,627
31,628
32,602
33,602
34,615
35,610
38,611
39,627
40,620
41,617
42,622
45,622
46,620
47,615
48,614
49,620
52,646
53,639
54,624
55,622
56,623
59,644
60,645
61,639
62,659
63,659
66,654
67,655
68,659
69,656
70,666
73,669
74,661
75,664
76,658
77,666
80,657
81,654
82,625
83,608
84,618
87,604
88,615
89,615
90,614
91,625
94,622
95,614
97,611
98,613
101,619
102,618
103,624
104,616
105,613
108,599
109,603
110,599
111,604
112,625
115,624
116,628
117,627
118,635
119,632
122,628
123,658
124,690
125,726
126,718
129,721
130,705
131,692
132,700
133,696
136,694
137,709
138,700
139,706
140,719
143,757
144,778
145,759
146,774
147,794
150,797
151,792
152,804
153,856
154,887
157,899
158,890
159,879
160,864
161,814
164,770
165,759
166,785
167,796
168,797
169,787
171,780
172,782
173,786
174,792
175,784
180,832
181,844
182,825
185,802
186,744
187,757
188,751
189,752
192,740
193,740
194,742
195,748
196,731
199,745
200,745
201,737
202,750
203,749
206,751
207,797
208,805
209,793
210,800
213,804
214,820
215,817
227,817
228,836
229,845
230,836
231,817
234,816
235,805
236,808
238,824
241,820
242,817
243,809
244,780
245,786
248,775
249,768
250,754
251,750
252,785
255,774
256,759
257,752
258,762
259,761
262,758
263,776
264,789
265,787
266,786
269,783
270,768
271,778
276,770
277,787
278,784
279,797
280,788
283,772
284,760
285,763
286,735
287,727
290,722
291,715
292,711
293,705
294,736
297,787
298,814
300,812
301,816
304,853
305,846
306,845
307,855
308,845
311,845
312,850
313,909
314,959
315,973
318,957
319,996
320,996
321,960
322,974
325,978
326,1005
327,1000
328,1005
329,1005
332,965
333,997
334,997
335,990
336,995
339,1035
340,1030
342,992
343,988
346,1010
347,1000
348,1005
349,986
350,965
353,948
354,947
355,955
356,938
357,960
360,992
361,991
362,981
363,965
364,945
367,958
368,935
369,956
370,999
371,996
374,994
375,997
376,987
377,979
378,916
381,883
382,906
383,912
384,935
385,1000
388,1070
389,1075
390,1070
391,1050
392,1060
395,1060
396,1060
397,1035
398,1050
399,1045
402,1085
403,1120
404,1130
405,1110
406,1090
409,1095
410,1090
412,1080
413,1075
416,1065
417,1060
418,1030
419,1030
420,1045
423,1045
424,1065
425,1055
426,1055
427,1050
430,1030
431,1030
432,1015
433,947
434,955
437,1000
438,994
439,1005
444,995
445,1035
446,1015
447,1015
448,995
451,997
452,1005
453,1010
454,1030
455,1030
458,1020
459,1010
460,1000
462,1015
465,997
466,996
467,997
468,982
469,975
472,993
473,997
474,1005
475,1010
476,1005
479,1010
480,1005
481,1010
482,1000
483,1015
486,996
487,1025
488,1005
489,1010
490,1005
493,1010
494,1010
495,1005
496,1005
497,1005
500,1005
501,1075
502,1090
503,1060
504,1025
507,1025
508,1045
509,1045
510,1055
511,1070
514,1065
515,1070
516,1080
517,1110
518,1130
521,1145
522,1140
523,1190
524,1170
525,1150
528,1125
529,1150
530,1170
531,1185
532,1195
535,1220
536,1235
537,1220
538,1200
539,1210
542,1230
543,1250
545,1230
546,1215
549,1215
550,1185
551,1185
552,1150
553,1155
556,1185
557,1150
558,1190
559,1195
560,1220
563,1250
564,1255
565,1255
566,1245
567,1215
570,1195
579,1155
580,1150
581,1170
584,1190
585,1205
586,1215
587,1215
588,1210
591,1190
592,1185
593,1200
594,1185
595,1245
598,1265
599,1265
600,1320
601,1405
605,1390
606,1400
607,1445
608,1415
609,1425
612,1390
613,1400
614,1410
615,1415
616,1405
619,1410
620,1400
621,1430
622,1405
623,1400
626,1370
627,1380
628,1435
629,1435
630,1465
633,1455
634,1505
635,1535
636,1555
640,1520
641,1595
642,1650
643,1685
644,1640
647,1630
648,1610
649,1620
650,1630
651,1615
654,1630
655,1720
656,1750
657,1765
658,1875
661,1990
662,1990
663,1960
665,1960
668,1995
669,2050
670,2005
671,1975
672,1955
675,1955
676,1965
677,1920
678,1930
679,1925
682,1980
683,2000
684,1980
685,1985
686,2095
689,2090
690,2045
691,2025
692,2035
693,2005
697,1980
698,2005
699,1995
